Age,Gender,Hydration_Level,Oil_Level,Sensitivity,Humidity,Temperature,Skin_Type,skin_score,skin_age
32,Male,Low,Low,High,45,17.2,Dry,42.5,44.2
50,Male,Medium,High,Low,38.1,27.7,Combination,92.1,33.1
18,Male,Low,Low,High,27.6,25,Combination,44.3,28
36,Male,Medium,High,Low,73.2,33.2,Oily,85.8,18.6
21,Male,Low,High,Medium,65,23.7,Oily,78.5,16.3
57,Male,Low,Low,High,29.8,15.1,Dry,23.3,77
22,Female,Low,Low,High,29.5,15.3,Dry,56.3,32
36,Male,Low,Low,High,32.6,11.2,Dry,36.1,52.5
26,Male,Medium,High,Low,60.2,24,Oily,100,15
46,Male,High,Low,Medium,38.8,15.4,Combination,89.9,37.6
52,Male,Low,High,Medium,80,26.9,Oily,60.8,56.9
32,Female,High,Medium,Medium,45,12.8,Normal,100,15.1
51,Male,Medium,Medium,Low,53.1,25.8,Normal,100,31
52,Male,Medium,High,Low,79.1,25.8,Oily,96.8,32
41,Male,Low,Low,High,29.5,17.7,Dry,32.8,61
29,Female,High,High,Medium,40.6,15.2,Normal,100,15
53,Male,Medium,High,Low,51.1,24.7,Combination,100,33
56,Female,Low,High,Medium,68.4,28.4,Oily,56.2,55.7
33,Female,High,Medium,Medium,55.4,20.1,Normal,100,15.5
55,Female,Low,Low,High,23.6,27.5,Dry,16,75
52,Female,Medium,Medium,Low,30.2,17,Combination,100,32
28,Male,Low,Low,High,25.8,16.7,Dry,30.2,48
28,Male,Medium,Medium,Medium,56.6,17,Normal,100,15
32,Female,Medium,High,High,49.5,29.5,Oily,70.9,25.6
39,Female,Medium,Medium,Low,63.3,11.4,Normal,100,28.4
55,Female,Medium,High,Medium,80,26.7,Oily,82.9,38.6
52,Male,Low,Low,High,23,14.2,Dry,20.1,72
55,Male,Medium,High,Medium,64.9,21.9,Oily,93.4,35
48,Male,Medium,High,Low,52.1,24.8,Oily,100,28
59,Male,Medium,High,Low,62.3,24.8,Oily,96.4,39
50,Male,Medium,Medium,Low,63.6,13.5,Combination,100,36.6
50,Female,Low,Low,High,27.9,17.3,Dry,33.1,70
39,Female,Low,Low,High,31.1,17.1,Oily,55.7,48.7
26,Male,Medium,Medium,Low,50.3,23.7,Normal,100,15
54,Female,Low,Low,High,32.9,18.7,Dry,43.4,69
20,Female,Low,Medium,Medium,51.3,24.9,Normal,83.9,16.4
27,Male,Low,Low,High,27.3,14.3,Dry,28.9,47
34,Male,Medium,High,Low,62.7,25.5,Normal,100,16.9
22,Female,Low,Low,High,44,15.3,Dry,59,28.2
22,Male,Low,High,Low,76.7,22.8,Oily,75.5,17.1
59,Male,Medium,Medium,Medium,59.8,13.1,Normal,92,39
23,Male,Medium,High,Low,74.3,16.6,Normal,100,15
38,Male,Medium,Low,High,25.1,12.5,Dry,58.5,41.4
52,Male,Medium,High,Low,67.4,34.4,Oily,88.3,32
48,Female,High,High,Medium,43.3,28.5,Oily,91.2,32.2
53,Male,Medium,High,Medium,59.7,22.4,Combination,92.4,37.7
21,Male,High,Medium,Low,39.6,24.3,Combination,100,15
41,Male,Low,Low,High,30.6,16.9,Dry,39.5,61
54,Female,Medium,Medium,Medium,67.9,21.5,Normal,99.8,34
50,Male,Medium,High,Low,49.2,31.6,Oily,93.5,32.7
39,Male,Low,High,Low,58.8,23.1,Oily,78.9,28.6
22,Female,Low,Low,High,25.1,25.1,Dry,52.7,32
28,Male,Low,Low,High,30.8,15.2,Dry,46.7,37
50,Male,Medium,High,Low,46.2,25,Combination,93.8,30
22,Male,Medium,Medium,Low,67.6,16.8,Normal,100,15
27,Female,Medium,Medium,Low,53,17,Normal,100,15
57,Male,Low,Low,High,23.9,17.7,Dry,28.3,77
55,Male,Medium,High,Medium,67.5,23,Oily,96.3,35
59,Male,Medium,High,Medium,75.8,25.8,Oily,73.7,53.2
56,Female,Low,Low,High,32.4,17.5,Dry,42.4,70.1
40,Female,Medium,Medium,Medium,63.5,13.1,Normal,100,29.3
51,Male,Medium,High,Low,50.8,15.8,Normal,100,31
22,Male,Medium,Medium,Low,64.9,19.6,Normal,100,15
36,Male,Medium,High,Low,50.2,24.8,Oily,100,18
38,Female,High,Medium,Low,48.4,15.9,Normal,100,18
28,Male,High,Medium,Low,52,14.6,Normal,100,15
58,Male,Medium,High,Medium,59.7,28.9,Oily,88.9,38
53,Female,High,Medium,Medium,57.8,13.3,Normal,96.3,33
53,Female,High,Medium,Medium,38,22.2,Normal,100,33
45,Male,Medium,High,Low,74.2,24.2,Oily,96.5,34.4
32,Male,High,Medium,Low,59.8,16,Normal,100,15
38,Male,Low,Low,High,28.7,19.1,Dry,36,58
19,Female,Low,Low,High,24.8,16.6,Dry,37.7,29
33,Female,High,Medium,Medium,40.4,17.7,Normal,100,15.4
54,Female,Medium,Medium,Low,45.3,17.8,Normal,100,34
49,Male,Medium,Medium,Medium,50,21.7,Normal,100,37.7
28,Female,Low,Low,High,26,10.9,Dry,32.3,47.9
26,Female,Medium,Medium,Medium,35.2,16.7,Normal,100,19.1
56,Female,Low,Low,High,34.3,13.8,Dry,35.5,76
27,Male,Medium,High,Medium,61.3,21.1,Oily,88.8,17.1
22,Female,Medium,Medium,Low,60.8,23.7,Combination,100,15
25,Female,High,Medium,Low,43,16.9,Normal,100,15
53,Male,Low,High,Low,76.3,18.1,Combination,72.4,47.9
31,Male,High,Medium,Low,74.7,17.3,Combination,100,15
39,Male,Low,High,Medium,63.4,29.9,Oily,67.7,34.6
55,Female,Medium,High,Medium,45,26.3,Oily,88,35
31,Male,Medium,Low,Medium,31.6,15.7,Normal,95.5,15
29,Male,Medium,Medium,Low,40.4,15.5,Normal,100,15.9
27,Female,Medium,High,Medium,73,17.9,Oily,100,15
28,Female,High,Medium,Low,49.9,12.5,Normal,100,15
32,Female,Medium,Medium,Low,38.2,15.1,Combination,100,18.4
55,Female,High,Medium,Medium,50.1,18.8,Normal,100,35
35,Male,Low,Low,High,25.2,12.9,Dry,46.6,55
56,Male,Low,Low,High,46.6,16.4,Dry,32.7,76
51,Male,Medium,High,Low,76.5,24.4,Oily,96.7,31
34,Female,Low,High,Medium,58,30.3,Oily,76.4,30.2
25,Male,Medium,High,Low,59.9,24.6,Oily,100,15
29,Female,Medium,High,Medium,60.1,19.8,Oily,98.9,15.5
50,Male,Medium,High,Low,62.6,23.4,Oily,94.8,35.4
28,Female,High,Medium,Medium,43.9,17.5,Combination,100,15
58,Male,Low,High,Medium,45.1,21.2,Oily,58.5,62.6
26,Male,Low,Low,High,27.9,12.5,Dry,33.7,46
47,Male,Medium,Medium,Low,52.1,29.2,Oily,100,30.8
35,Male,Medium,Medium,Medium,46.2,15.2,Normal,100,28.3
58,Female,Low,Low,High,32.4,18.1,Dry,33,78
49,Female,Medium,Medium,Medium,58.7,17.5,Normal,97.5,35.5
53,Female,Medium,Medium,Low,67,16.5,Normal,100,36.8
26,Male,Low,Low,High,25.8,28.2,Dry,34,41.7
47,Female,Low,Low,High,30,15.7,Dry,37.2,67
34,Female,High,Medium,Medium,52.4,13.8,Oily,100,15
43,Female,Low,Low,High,29.2,12.5,Dry,45,60.9
37,Female,High,Medium,Medium,30.2,15.9,Normal,100,23.7
24,Female,Low,Low,High,31.3,13.5,Dry,45.5,29.7
46,Female,Low,Low,High,31.3,16.3,Dry,27.7,66
39,Male,Medium,Medium,Low,45,19.3,Combination,100,20.3
31,Female,Medium,Medium,Low,42.2,18,Normal,100,15
48,Male,Medium,High,Low,56.3,29.9,Oily,91,28.4
55,Male,High,Medium,Low,54.6,32.9,Combination,100,35
54,Male,High,Medium,Medium,49.6,15.6,Combination,100,34
24,Male,Low,Low,High,32.9,18,Dry,56.2,30.4
24,Male,Medium,High,Medium,66.8,23.1,Oily,100,15
37,Male,Low,Low,High,29.5,12.2,Dry,31.3,57
49,Female,Medium,Medium,Low,46.8,16.6,Normal,100,29.2
37,Female,Low,High,Medium,69,31.6,Oily,70.1,35.3
31,Female,High,Low,Medium,38.4,17.5,Dry,100,15.7
42,Female,Low,Low,High,30.7,16.8,Dry,38.5,62
41,Female,Low,Low,Medium,53.6,23.6,Combination,66.6,46.5
57,Female,Medium,Medium,Medium,52.3,17,Oily,95.2,38.1
49,Female,Low,Low,High,42.8,25.3,Dry,37.6,69
52,Female,High,High,High,43.4,21.6,Oily,77.6,32
38,Female,Medium,Medium,Low,55.8,15.2,Normal,100,25.1
29,Male,Low,High,Medium,71.3,29.6,Oily,63.4,33.6
30,Female,High,High,Medium,25.7,11.4,Oily,99.4,15
23,Female,Low,Low,High,31.1,15,Dry,52.4,32.2
29,Female,High,High,Medium,44.4,24.4,Normal,100,15
24,Male,Low,Low,High,46.9,17.1,Dry,48.1,29.4
56,Male,Low,Low,High,29.5,14.8,Dry,13,76
24,Male,Medium,Medium,Low,73.6,30.8,Normal,100,15
56,Male,Low,High,Medium,76.1,24.1,Oily,54.8,57.9
55,Male,Medium,Medium,Low,66.3,15,Normal,100,35
52,Female,High,Medium,Medium,29.9,14.9,Normal,91.9,32
26,Male,High,Medium,Medium,44.1,20.5,Normal,100,15
35,Male,Medium,Medium,Low,48.5,21.7,Combination,100,21.6
53,Female,Medium,High,Medium,58.4,24,Combination,87,33
55,Male,Medium,Low,Medium,47.6,15.3,Combination,90.7,39.9
26,Female,Medium,Medium,Medium,39.8,14.7,Normal,98.4,15
57,Female,Medium,Medium,Low,49.4,16,Normal,100,37
58,Male,Medium,High,Medium,76.7,18.1,Oily,89.7,38.1
56,Female,High,Medium,Low,61.8,23,Normal,100,36
26,Male,Low,Low,High,23,19.5,Dry,37.3,38.7
29,Female,High,Medium,Low,62.2,13.1,Normal,100,15
24,Male,High,Medium,Low,55.1,15.5,Combination,100,15
51,Female,High,Medium,Medium,49.6,13.6,Combination,100,34.7
57,Male,Medium,Medium,Medium,67.2,24.4,Normal,90.8,37.4
52,Male,Low,High,Medium,76.4,24.1,Oily,54.8,55.2
41,Male,Medium,Medium,Medium,45.4,20.6,Normal,100,29.1
26,Male,Medium,High,Low,73.4,30,Oily,96.5,15
54,Male,Low,High,Medium,80,23,Oily,53.5,53.9
25,Female,Medium,Medium,Low,56.7,17.8,Normal,100,15
44,Male,Low,Low,High,27.1,14.7,Dry,30.1,64
19,Female,High,Medium,Low,49.5,15.3,Combination,100,15
59,Male,Low,High,Low,58.1,22.2,Oily,76.8,42
37,Female,Medium,Medium,Medium,62.5,20.5,Normal,100,24.2
59,Female,Medium,Medium,Low,53.5,23.3,Oily,100,39
51,Male,High,Medium,Medium,43,14.9,Normal,100,31
22,Female,Medium,Medium,Low,55.4,26,Normal,100,15
52,Male,Medium,Medium,Medium,42.6,14.2,Normal,100,34.2
23,Female,Medium,Medium,Low,59.9,15.1,Normal,100,15
28,Male,Medium,Medium,Low,47.8,23.2,Combination,100,15
29,Female,High,Medium,Low,50,18.8,Normal,100,15
49,Male,Medium,Medium,Low,33.5,14.6,Normal,100,37.3
37,Male,Low,Low,High,30.2,11.1,Dry,44.8,48
30,Female,Medium,Medium,Low,55.1,14.6,Normal,100,15
59,Male,Medium,High,Low,69.8,29.3,Oily,90.9,39
27,Male,Medium,Medium,Medium,40.9,16.8,Normal,100,16.4
34,Female,Medium,High,Low,62.9,30.8,Normal,100,18.6
59,Male,Low,Low,High,23.6,18.6,Dry,33.1,79
22,Male,Low,Low,High,20.6,13.9,Dry,41.8,32
34,Male,Low,Low,Medium,23.4,18.3,Combination,59.5,40.3
54,Male,Medium,Medium,Medium,69.6,21,Oily,100,35.5
34,Male,Medium,Medium,Low,52.3,17.1,Normal,100,15.7
31,Male,High,Medium,Low,59.7,30.3,Normal,100,15.8
42,Female,High,Medium,Low,61.4,15.9,Normal,100,22
43,Female,High,Medium,Low,51.9,14,Normal,100,23
53,Female,Medium,Medium,Low,63.9,23.9,Combination,95.1,33
52,Male,Medium,High,Medium,34.3,22.4,Oily,90,32
34,Female,Low,Low,High,31.2,10.7,Dry,27.2,54
55,Male,Low,Low,High,20,13,Dry,20.2,75
35,Male,Low,Low,High,23.2,18.8,Dry,37.1,55
27,Male,Medium,High,Low,61,25,Normal,100,15
52,Female,Low,Low,High,29.3,10,Combination,43.5,72
36,Male,Low,High,Medium,80,29.3,Oily,59.3,33.4
38,Male,Low,Low,High,39.6,15.9,Combination,46.5,48
40,Female,Low,Low,High,24.6,14.7,Dry,30.5,60
51,Female,Medium,Medium,Low,37.3,19,Normal,100,31
33,Male,Low,Low,High,24.8,16.2,Dry,31.3,53
31,Female,Medium,High,Medium,49.2,22.2,Oily,100,15
42,Female,Low,Low,High,49.6,18.7,Dry,47.3,56.9
32,Female,High,Medium,Medium,59.6,17.3,Normal,100,16
56,Male,High,Medium,Low,32.2,15.1,Dry,100,36
28,Male,Low,Low,High,28.9,12.7,Dry,34.6,48
39,Male,Low,High,Low,57.6,26.2,Oily,80.2,24.5
28,Male,Low,Medium,High,50.3,26.6,Combination,54.3,34.7
44,Male,Low,High,Medium,80,26.9,Oily,65.2,42.8
33,Female,Low,Low,High,26.7,26.7,Dry,37.7,53
37,Male,High,High,Medium,63.7,25.4,Normal,95.4,18.9
45,Male,Low,High,Medium,79.7,27.9,Oily,70.4,41.7
24,Male,Medium,Medium,Medium,55.7,15,Combination,100,15
34,Male,Low,Low,High,32.9,14.1,Dry,41.7,44.7
40,Female,Low,Low,High,25.8,14.5,Dry,36.5,60
49,Female,Medium,Medium,Medium,66.4,28.1,Oily,96.3,35.1
52,Male,Low,Low,High,30.5,13.1,Dry,30.2,72
50,Male,Low,Low,High,25.1,10,Dry,36.5,70
32,Male,Low,High,Low,79,24.4,Oily,73.6,27.3
49,Female,Medium,Medium,Low,53.6,21.7,Normal,100,35.9
33,Male,Low,High,Medium,69.4,25.9,Oily,65.5,28.2
23,Female,High,Medium,Medium,45.7,22.1,Oily,100,15
23,Male,Low,Low,High,44.4,14.5,Dry,47.2,30.1
56,Female,High,Medium,Low,39.8,21,Normal,100,36
36,Male,Low,High,Medium,53.6,21.2,Combination,77.5,32.1
26,Male,Low,High,Medium,43.9,16.1,Normal,78.1,19.5
55,Male,High,Low,High,44.6,16.2,Normal,86.2,38.5
31,Male,Low,Low,High,43.2,17.4,Dry,46,38.2
19,Female,Low,High,Medium,77.3,25.5,Oily,60.8,21.4
33,Female,Low,Low,High,31.1,14.7,Dry,39.7,48.4
52,Female,Medium,Medium,Medium,47.3,14.3,Oily,99.6,32
56,Female,Low,Low,High,32.3,17.6,Dry,33.5,76
38,Male,High,Medium,Low,53.7,21.7,Normal,100,18
57,Female,Low,Low,High,32.3,16,Dry,31.7,77
39,Male,High,Medium,Low,50.5,17.2,Normal,100,19.2
26,Female,Medium,Medium,Medium,62.1,22.3,Oily,100,16
59,Male,Low,High,Low,80,29.3,Oily,60.1,60
36,Male,Low,Low,High,29.9,16.6,Dry,28.4,56
37,Male,Low,Low,High,32.9,21.7,Dry,47.7,49.1
47,Male,High,Low,High,29.2,10.1,Dry,59.2,48.8
36,Male,Medium,High,Low,73.9,28.3,Oily,94,20.5
51,Male,Low,Low,High,35.4,18.1,Dry,40.1,66.5
51,Male,Medium,Medium,Medium,41.3,20.5,Normal,100,33.7
29,Male,Medium,High,Low,63.2,29.4,Oily,99.5,16.6
27,Female,Medium,Medium,Medium,56.2,19.1,Normal,100,15.2
37,Female,Medium,High,Medium,46.3,31.5,Combination,87.7,25.2
59,Female,Medium,Medium,Low,61.4,21,Normal,100,39
26,Female,Low,Low,High,26.2,12.9,Dry,41.1,44.1
36,Male,Medium,Medium,Medium,60.3,15.7,Normal,95.9,25
30,Male,High,Medium,Low,56.4,29.3,Combination,100,15
34,Male,Low,Low,High,30.3,17.7,Dry,52.3,40.8
52,Male,Medium,High,Low,69.6,26.4,Oily,94.3,32
58,Male,Low,High,Medium,80,23.8,Oily,57.8,55.9
37,Female,Low,Low,High,29.9,16.2,Dry,35.2,57
21,Female,Medium,Medium,Low,62.6,18.9,Combination,100,15
37,Male,Medium,Medium,Low,63,16.6,Normal,100,22.1
30,Female,Medium,Low,Low,36.1,23.2,Dry,100,17
33,Male,Low,Low,High,29.6,12.5,Dry,34.6,53
51,Male,Low,High,Medium,69.6,29.2,Oily,59.4,53
42,Male,Low,Low,High,31.4,13,Dry,33.3,62
31,Female,High,High,Medium,36.6,26.8,Combination,100,17.2
32,Female,Medium,Medium,Medium,59.1,18.1,Oily,100,20.3
33,Male,Medium,Low,Medium,59.5,27.3,Oily,93.3,24.7
52,Male,High,Medium,Low,52.7,13.4,Normal,100,32
52,Female,Low,Low,High,32.9,19.1,Dry,42.6,69.8
49,Male,Low,High,Low,69.2,29.6,Oily,58.9,48.5
25,Male,High,Medium,High,50.1,17.7,Normal,100,15
24,Female,Medium,High,Medium,59.8,22.4,Oily,100,15
41,Male,Low,Low,High,47.7,16.8,Dry,33.4,61
59,Male,Medium,Medium,Low,21.7,16.6,Combination,90.9,41.9
45,Male,Low,Low,High,26.7,11.8,Dry,42.9,61
59,Female,Medium,Medium,Medium,47,21.4,Normal,91.6,39
31,Female,High,Medium,Medium,47.2,18.1,Combination,100,15
54,Male,Low,Low,Medium,50,21.6,Combination,62.9,65.8
48,Female,Low,Low,High,27,14.1,Dry,27.4,68
58,Male,Low,Low,High,27.9,17.2,Dry,26.6,78
59,Female,Medium,Medium,Low,49.8,15,Normal,100,39.7
37,Female,Medium,High,Medium,58.3,30.4,Combination,87.7,24.7
59,Male,Low,High,Medium,63,23.8,Oily,62.4,58.1
58,Male,Low,High,Low,64.8,26.1,Oily,76.4,47
54,Male,Medium,Medium,Medium,48.8,17.9,Normal,97.6,39.1
21,Female,Low,Low,High,43.3,23.2,Combination,57.4,25.2
32,Female,Low,Low,High,57.8,20.5,Dry,49,40.3
56,Male,Low,High,Medium,80,29.7,Oily,50.8,56.1
25,Female,Medium,High,Low,55.6,18.5,Normal,100,15
39,Male,Low,High,Medium,80,26.1,Oily,57.6,35.2
34,Female,Medium,Medium,Medium,49.7,16.5,Combination,100,22.7
53,Female,Medium,Medium,Low,58.3,14.1,Normal,100,33
33,Male,Medium,High,Low,58.3,26.1,Oily,100,15
30,Male,Medium,High,Low,80,24.8,Oily,100,15
49,Male,Medium,High,Medium,70.7,27.7,Combination,87.6,34
51,Male,Medium,High,Medium,75.7,25.3,Oily,88.2,31.9
19,Male,Low,High,Low,64.9,32.7,Oily,69.6,17
35,Male,Medium,Medium,Low,66.7,27.3,Combination,100,21.4
59,Male,Medium,High,Low,64.3,32.3,Normal,91.5,39
49,Female,Medium,Medium,Low,49.1,24.6,Normal,100,34.1
38,Male,Low,Low,High,33.1,14.8,Dry,25.5,58
43,Male,Low,Low,High,32.9,15.3,Dry,54.1,55.2
55,Male,Medium,Medium,Low,54.3,19.4,Normal,100,35
52,Male,Medium,Medium,Low,44.7,14,Normal,100,32
32,Male,Medium,High,Medium,62.8,23.1,Oily,96.8,15
24,Male,Low,Low,High,32.6,11.3,Dry,45.1,30.8
30,Female,Low,Low,High,50.9,29.4,Oily,51.7,40.9
56,Female,High,Medium,Low,52.2,14.8,Normal,100,36
49,Male,Low,High,Low,55.3,27.3,Oily,73.9,41.7
59,Female,Medium,High,Low,66.3,30.9,Oily,92.1,39
56,Male,Medium,High,Medium,57.3,29.7,Oily,76.6,36
59,Female,High,Medium,Medium,38,14.7,Normal,95.9,39
23,Male,Low,High,Medium,53.5,25.6,Oily,82.7,15.5
32,Female,Medium,Medium,Medium,74.6,23.2,Normal,100,24.2
